Number of beetles;Number of births;Number of flowers
34;34;76;
34;0;84;
34;0;91;
34;0;94;
34;0;94;
34;0;100;
34;0;98;
34;0;99;
34;0;105;
34;1;104;
35;1;105;
35;0;103;
33;0;102;
32;0;103;
32;0;103;
31;0;104;
32;1;104;
32;1;109;
33;1;109;
32;0;105;
31;0;108;
31;0;105;
29;0;103;
28;0;103;
26;0;102;
25;0;101;
25;0;106;
25;0;105;
25;0;105;
25;0;106;
26;1;104;
26;0;109;
27;1;99;
26;1;104;
26;0;109;
27;1;99;
28;1;99;
11;0;149;
11;0;153;
11;0;158;
11;0;161;
11;0;167;
10;0;166;
10;0;170;
10;0;171;
10;0;172;
