Number of beetles;Number of births;Number of flowers
61;61;326;
62;1;318;
62;0;321;
61;0;319;
61;0;319;
61;1;318;
61;0;318;
61;0;313;
61;0;316;
61;0;326;
62;1;318;
61;0;326;
60;0;326;
60;0;322;
60;0;324;
62;3;322;
62;0;321;
63;1;319;
61;0;322;
61;0;318;
60;0;322;
60;0;323;
59;0;323;
59;0;325;
59;0;327;
59;0;328;
58;0;323;
58;0;327;
56;0;332;
55;0;330;
55;0;330;
56;1;327;
57;1;330;
57;0;331;
58;1;326;
58;0;328;
57;0;323;
56;0;329;
55;0;329;
54;0;332;
54;0;324;
54;0;327;
54;0;323;
55;1;334;
55;0;332;
55;0;322;
56;1;327;
56;0;331;
57;1;329;
57;0;332;
58;1;329;
58;0;320;
58;0;327;
59;1;321;
59;0;320;
60;1;325;
59;0;323;
59;0;321;
59;0;322;
60;1;320;
61;2;317;
62;1;314;
62;0;311;
62;0;318;
62;0;320;
63;1;316;
63;0;320;
63;0;313;
63;1;311;
63;1;318;
66;3;314;
68;2;312;
67;0;320;
66;0;315;
67;1;315;
67;0;314;
68;1;313;
68;0;310;
68;0;315;
69;1;316;
69;0;310;
69;0;311;
69;0;310;
67;0;313;
66;0;316;
66;0;317;
66;0;311;
66;0;315;
66;1;310;
66;0;311;
65;0;314;
64;0;314;
64;0;311;
64;0;312;
62;1;310;
60;0;318;
61;1;323;
61;0;313;
60;0;315;
60;0;312;
58;1;319;
56;0;325;
55;0;324;
54;0;320;
52;0;326;
52;0;327;
52;0;322;
49;0;334;
47;0;331;
44;0;337;
46;2;334;
45;1;337;
40;0;343;
38;1;346;
36;1;343;
31;0;363;
29;0;361;
27;0;368;
27;0;368;
26;0;366;
27;1;369;
27;1;371;
27;0;365;
27;0;364;
24;0;371;
24;0;371;
24;0;370;
24;0;367;
23;0;370;
23;0;372;
23;0;369;
21;0;374;
21;0;375;
21;0;372;
21;0;374;
21;0;370;
20;0;376;
20;0;376;
20;1;376;
20;0;376;
19;0;375;
20;1;375;
21;1;374;
21;0;371;
21;0;373;
21;1;375;
21;0;370;
22;1;375;
21;0;374;
21;0;371;
21;0;368;
20;0;373;
20;0;372;
20;0;372;
20;0;372;
20;0;374;
20;0;372;
20;0;373;
20;0;371;
20;0;375;
20;0;374;
20;0;371;
20;0;373;
21;1;373;
22;1;372;
22;0;370;
22;0;371;
22;0;372;
21;0;372;
20;0;373;
19;0;373;
17;0;378;
17;0;376;
16;0;378;
14;0;379;
14;0;383;
14;0;378;
14;0;382;
14;0;379;
14;0;380;
14;1;381;
14;0;382;
14;0;383;
13;0;385;
12;0;383;
11;0;385;
11;0;383;
11;0;387;
10;0;385;
9;0;387;
9;0;390;
9;0;388;
9;0;389;
9;0;389;
9;0;390;
9;0;388;
9;0;389;
10;1;388;
10;1;389;
10;0;387;
10;0;385;
10;0;387;
10;0;387;
10;0;387;
10;0;388;
10;0;385;
10;0;385;
10;0;385;
10;0;385;
10;0;387;
10;0;384;
10;0;386;
10;0;384;
10;0;386;
10;0;385;
11;1;385;
13;2;385;
14;1;383;
15;1;379;
15;0;382;
16;1;377;
14;0;379;
14;0;378;
15;1;377;
14;0;377;
13;0;381;
13;0;381;
13;0;378;
13;0;383;
14;1;382;
17;3;380;
17;0;376;
17;1;381;
16;0;376;
16;0;377;
17;1;372;
17;0;377;
18;1;374;
20;2;373;
20;2;374;
21;1;370;
22;1;372;
24;2;369;
23;1;372;
23;2;367;
23;0;372;
25;3;368;
26;1;367;
28;3;366;
28;2;364;
30;2;361;
30;2;357;
30;1;363;
29;1;358;
32;5;362;
33;1;360;
31;2;361;
30;1;363;
30;1;364;
30;3;363;
29;0;362;
27;1;366;
29;5;367;
29;1;369;
28;0;363;
29;1;364;
30;2;367;
29;0;363;
26;0;370;
26;2;369;
24;0;372;
23;0;368;
25;2;367;
25;0;368;
25;1;366;
25;0;365;
27;2;368;
27;1;364;
28;2;361;
30;3;365;
31;1;359;
32;2;362;
31;0;360;
32;1;362;
29;0;367;
30;2;362;
30;1;361;
32;3;358;
33;1;356;
34;1;360;
33;1;359;
30;0;361;
30;0;358;
32;2;362;
32;1;358;
34;2;354;
35;2;358;
33;0;361;
32;0;353;
33;1;355;
32;0;361;
31;1;358;
32;1;361;
31;2;364;
31;1;363;
30;0;361;
30;1;365;
32;2;359;
36;4;354;
38;2;352;
38;2;355;
38;0;355;
35;0;360;
31;0;363;
30;1;359;
30;3;361;
32;2;358;
31;2;363;
31;0;362;
29;0;363;
27;0;369;
27;0;365;
27;1;367;
27;0;360;
29;2;363;
29;0;362;
30;1;357;
30;0;359;
30;0;363;
30;2;362;
30;1;359;
31;1;364;
31;1;364;
30;0;362;
29;1;361;
29;0;363;
30;1;358;
31;1;360;
31;0;362;
31;1;361;
29;0;362;
28;0;366;
29;1;363;
28;0;365;
26;1;369;
26;0;370;
24;1;369;
24;0;369;
25;1;367;
24;0;369;
27;3;364;
27;1;362;
25;0;365;
26;1;364;
26;0;368;
26;0;365;
28;2;366;
28;0;367;
28;0;367;
28;1;366;
29;1;365;
29;1;360;
30;1;362;
29;0;362;
31;2;360;
29;1;361;
30;1;362;
32;2;362;
31;0;362;
32;1;361;
33;1;358;
31;1;359;
30;0;359;
31;2;362;
30;0;364;
30;0;362;
30;0;356;
31;2;362;
34;3;359;
35;1;358;
34;1;358;
33;0;355;
34;1;361;
33;0;361;
34;2;361;
34;0;359;
34;0;355;
34;0;358;
34;0;356;
35;1;360;
34;0;360;
33;0;364;
33;0;361;
31;0;365;
31;1;362;
33;2;363;
30;0;365;
30;1;362;
30;0;368;
31;1;362;
30;0;361;
30;0;364;
31;1;360;
34;3;364;
35;1;359;
35;0;358;
34;0;357;
34;0;358;
34;0;359;
37;3;353;
36;0;356;
37;2;355;
36;0;360;
35;2;361;
34;0;356;
33;0;359;
32;0;362;
33;2;362;
33;0;358;
32;0;361;
33;1;360;
33;1;362;
32;0;359;
29;0;364;
31;2;361;
30;0;364;
29;0;364;
27;0;360;
27;0;362;
28;1;365;
28;0;361;
27;0;368;
26;0;364;
27;1;368;
27;0;363;
28;1;361;
31;3;361;
33;2;362;
33;0;355;
32;0;363;
32;0;357;
32;2;362;
30;0;360;
30;0;362;
31;1;360;
32;1;359;
33;1;359;
31;0;362;
31;0;363;
31;0;361;
31;0;355;
32;1;355;
33;1;360;
33;1;356;
31;0;365;
31;0;358;
31;0;362;
29;0;363;
30;1;362;
30;0;363;
30;0;361;
32;2;362;
32;0;358;
32;0;360;
33;1;358;
33;0;361;
34;1;358;
33;0;357;
34;1;359;
34;0;355;
34;1;358;
34;0;359;
33;0;361;
33;0;362;
33;1;362;
33;0;358;
35;2;359;
35;0;358;
34;0;357;
34;0;358;
34;1;356;
35;1;352;
37;2;358;
36;0;357;
36;0;354;
34;0;358;
32;0;359;
32;0;366;
31;0;359;
32;1;361;
32;0;360;
30;0;363;
30;0;363;
29;0;364;
30;1;364;
29;0;365;
30;1;363;
29;0;367;
29;0;362;
29;0;364;
29;0;365;
28;0;368;
28;1;368;
29;1;363;
29;1;364;
29;0;367;
29;0;360;
30;1;360;
30;1;363;
30;0;364;
29;0;361;
29;0;361;
27;0;365;
27;0;366;
27;0;362;
28;1;365;
29;1;364;
29;0;364;
29;0;359;
30;1;362;
31;1;361;
31;0;359;
32;1;361;
32;0;354;
32;0;365;
32;0;359;
32;0;358;
33;2;363;
31;0;361;
31;0;356;
31;0;365;
32;1;360;
31;0;358;
32;1;358;
33;1;358;
33;0;360;
33;0;357;
33;0;353;
32;0;359;
32;0;359;
32;0;361;
30;0;365;
30;0;364;
30;0;361;
30;0;364;
30;0;364;
32;2;362;
32;0;362;
31;0;362;
30;0;365;
29;0;363;
29;0;367;
28;0;364;
27;0;367;
27;0;361;
26;0;368;
25;0;367;
25;0;365;
24;0;371;
24;0;367;
24;0;367;
24;1;368;
25;1;369;
26;2;373;
26;1;369;
26;1;369;
26;0;370;
25;0;370;
24;0;371;
24;0;366;
24;1;370;
23;0;373;
23;0;372;
21;0;375;
21;0;376;
21;0;377;
21;0;374;
21;0;373;
20;0;375;
20;0;372;
18;0;371;
19;1;375;
19;0;371;
21;2;372;
20;0;374;
20;0;371;
20;0;375;
20;0;370;
20;0;371;
22;2;371;
21;0;371;
22;1;370;
22;0;367;
22;0;372;
22;0;370;
23;1;372;
23;0;373;
23;0;366;
23;0;374;
23;0;369;
24;1;372;
22;0;371;
21;0;373;
22;1;373;
22;0;373;
22;0;370;
23;1;368;
23;0;370;
23;0;371;
22;0;372;
22;0;368;
21;0;371;
20;1;372;
20;0;373;
20;0;372;
20;0;373;
20;0;372;
20;0;370;
20;0;374;
20;0;372;
20;0;371;
18;0;375;
18;0;376;
19;1;374;
19;1;377;
19;0;375;
19;0;376;
19;0;376;
20;1;375;
20;0;376;
19;0;376;
18;0;378;
17;0;378;
17;0;380;
17;0;380;
17;0;378;
18;1;380;
19;1;377;
19;0;378;
19;0;376;
16;0;381;
16;0;379;
17;1;377;
17;0;377;
17;0;378;
17;0;377;
17;0;375;
17;0;378;
17;0;377;
17;0;375;
16;0;379;
17;1;380;
19;2;377;
19;0;374;
19;0;375;
20;1;372;
20;1;376;
20;0;376;
20;0;375;
21;1;374;
21;0;371;
21;0;374;
21;0;369;
21;0;375;
22;1;371;
23;1;371;
23;0;372;
23;0;367;
22;0;370;
23;1;374;
23;0;367;
23;0;367;
24;1;365;
26;2;370;
26;0;369;
26;0;367;
26;0;363;
26;0;365;
26;0;366;
26;1;368;
26;0;369;
26;0;367;
26;0;367;
26;0;367;
25;0;367;
26;1;370;
26;0;367;
26;0;366;
26;0;368;
26;0;363;
26;0;366;
25;1;368;
25;0;367;
25;0;367;
25;0;366;
26;1;369;
28;2;364;
30;2;363;
30;1;362;
30;0;366;
30;0;360;
30;0;363;
30;0;357;
30;1;362;
31;1;360;
31;0;357;
33;2;359;
33;0;357;
33;0;353;
34;1;361;
34;0;359;
32;0;365;
32;0;360;
31;0;361;
31;1;360;
31;0;359;
31;0;359;
32;1;356;
31;0;364;
31;0;360;
31;0;362;
32;1;360;
34;2;356;
34;0;360;
34;0;357;
32;0;364;
32;0;363;
31;0;361;
32;1;359;
32;1;362;
32;0;365;
33;2;362;
33;0;359;
33;0;363;
32;0;363;
32;0;360;
31;0;364;
32;1;363;
33;1;359;
32;0;356;
32;0;356;
32;0;358;
32;1;363;
32;0;357;
32;1;362;
31;0;359;
31;0;360;
31;0;360;
31;0;359;
32;1;364;
32;0;360;
32;0;360;
32;0;360;
31;0;361;
30;0;361;
30;0;362;
30;0;361;
30;0;365;
30;1;364;
30;0;365;
30;0;362;
30;0;361;
29;1;365;
29;1;364;
28;0;365;
28;0;363;
28;0;363;
27;0;363;
27;0;366;
28;1;365;
27;0;364;
26;1;364;
26;0;362;
27;1;362;
27;0;363;
27;0;361;
27;0;365;
27;0;361;
27;0;364;
27;1;368;
27;0;362;
26;0;362;
26;0;363;
26;0;363;
26;0;366;
27;1;364;
27;1;366;
